Алебастровый цикореус;Chicoreus;Мурициды;Neogastropoda;Брюхоногие;Моллюски
Александрийская белозубка;Белозубки;Землеройковые;Насекомоядные;Млекопитающие;Хордовые
Александров кольчатый попугай;Кольчатые;Psittaculidae;Попугаеобразные;Птицы;Хордовые
Алеутская крачка;Onychoprion;Чайковые;Ржанкообразные;Птицы;Хордовые
Алеутский морской окунь;Морские;Скорпеновые;Скорпенообразные;Лучепёрые;Хордовые
Алеутский пыжик;Алеутские;Чистиковые;Ржанкообразные;Птицы;Хордовые
Алжирский ёж;Африканские;Ежовые;Насекомоядные;Млекопитающие;Хордовые
Алжирский поползень;Поползни;Поползневые;Воробьинообразные;Птицы;Хордовые
Алланкастрия кавказская;Алланкастрии;Парусники;Чешуекрылые;Насекомые;Членистоногие
Аллеганский скрытожаберник;Cryptobranchus;Скрытожаберники;Хвостатые;Земноводные;Хордовые
Алмазный квезаль;Квезалы;Трогоновые;Трогонообразные;Птицы;Хордовые
Алмазный фазан;Воротничковые;Фазановые;Курообразные;Птицы;Хордовые
Алогрудый астрильд;Brunhilda;Вьюрковые;Воробьинообразные;Птицы;Хордовые
Алогрудый цветоед;Цветоеды;Цветоедовые;Воробьинообразные;Птицы;Хордовые
Алтайская пищуха;Пищухи;Пищуховые;Зайцеобразные;Млекопитающие;Хордовые
Алтайский осман Потанина;Алтайские;Карповые;Карпообразные;Лучепёрые;Хордовые
Алтайский улар;Улары;Фазановые;Курообразные;Птицы;Хордовые
Алый вьюрок;Алые;Вьюрковые;Воробьинообразные;Птицы;Хордовые
Алый уж;Алые;Ужеобразные;Чешуйчатые;Пресмыкающиеся;Хордовые
Альбатрос Буллера;Моллимауки;Альбатросовые;Буревестникообразные;Птицы;Хордовые
Альбула (рыба);Альбулы;Альбуловые;Альбулообразные;Лучепёрые;Хордовые
Альвеококк;Эхинококки;Тенииды;Циклофиллиды;Ленточные;Плоские
